director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
David Pastor,Kiernan Shipka,Drama Horror Sci-Fi Thriller,Christopher Meloni,Carriers,Lou Taylor Pucci,David Pastor Kiernan Shipka Drama Horror Sci-Fi Thriller Christopher Meloni Lou Taylor Pucci
Henry Selick,Bridget Fonda,Animation Comedy Fantasy,Brendan Fraser,Monkeybone,Megan Mullally,Henry Selick Bridget Fonda Animation Comedy Fantasy Brendan Fraser Megan Mullally
John Moore,Tony Curran,Action Adventure Drama Thriller,Dennis Quaid,Flight of the Phoenix,Miranda Otto,John Moore Tony Curran Action Adventure Drama Thriller Dennis Quaid Miranda Otto
M. Night Shyamalan,Bruce Willis,Drama Mystery Sci-Fi Thriller,Robin Wright,Unbreakable,Michael Kelly,M. Night Shyamalan Bruce Willis Drama Mystery Sci-Fi Thriller Robin Wright Michael Kelly
Kyle Balda,Jon Hamm,Action Animation Comedy Family Sci-Fi,Steve Carell,Minions,Steve Coogan,Kyle Balda Jon Hamm Action Animation Comedy Family Sci-Fi Steve Carell Steve Coogan
Zack Snyder,Abbie Cornish,Action Fantasy,Jon Hamm,Sucker Punch,Scott Glenn,Zack Snyder Abbie Cornish Action Fantasy Jon Hamm Scott Glenn
Brian De Palma,Mike Starr,Crime Mystery Thriller,Nicolas Cage,Snake Eyes,John Heard,Brian De Palma Mike Starr Crime Mystery Thriller Nicolas Cage John Heard
Barry Levinson,James Pickens Jr.,Drama Mystery Sci-Fi Thriller,Peter Coyote,Sphere,Huey Lewis,Barry Levinson James Pickens Jr. Drama Mystery Sci-Fi Thriller Peter Coyote Huey Lewis
Clay Kaytis,Josh Gad,Action Animation Comedy Family,Peter Dinklage,The Angry Birds Movie,Keegan-Michael Key,Clay Kaytis Josh Gad Action Animation Comedy Family Peter Dinklage Keegan-Michael Key
Andy Tennant,Ray Winstone,Action Adventure Comedy Romance Thriller,Matthew McConaughey,Fool's Gold,Alexis Dziena,Andy Tennant Ray Winstone Action Adventure Comedy Romance Thriller Matthew McConaughey Alexis Dziena
Judd Apatow,RZA,Comedy Drama,Adam Sandler,Funny People,Maude Apatow,Judd Apatow RZA Comedy Drama Adam Sandler Maude Apatow
Peter Berg,Frances Fisher,Action Drama Thriller,Jennifer Garner,The Kingdom,Tim McGraw,Peter Berg Frances Fisher Action Drama Thriller Jennifer Garner Tim McGraw
Adam McKay,Leslie Bibb,Action Comedy Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,Gary Cole,Adam McKay Leslie Bibb Action Comedy Sport Will Ferrell Gary Cole
Steve Carr,Jeffrey Jones,Comedy Family Fantasy,Raven-Symoné,Dr. Dolittle 2,Kevin Pollak,Steve Carr Jeffrey Jones Comedy Family Fantasy Raven-Symoné Kevin Pollak
Mel Gibson,Patrick McGoohan,Biography Drama History War,Mhairi Calvey,Braveheart,James Robinson,Mel Gibson Patrick McGoohan Biography Drama History War Mhairi Calvey James Robinson
Sam Mendes,Brian Geraghty,Action Drama War,Jake Gyllenhaal,Jarhead,James Morrison,Sam Mendes Brian Geraghty Action Drama War Jake Gyllenhaal James Morrison
David Silverman,Yeardley Smith,Adventure Animation Comedy,Albert Brooks,The Simpsons Movie,Marcia Wallace,David Silverman Yeardley Smith Adventure Animation Comedy Albert Brooks Marcia Wallace
Frank Darabont,Hal Holbrook,Drama Romance,Martin Landau,The Majestic,Jeffrey DeMunn,Frank Darabont Hal Holbrook Drama Romance Martin Landau Jeffrey DeMunn
Renny Harlin,Estella Warren,Action Drama Sport,Sylvester Stallone,Driven,Cristián de la Fuente,Renny Harlin Estella Warren Action Drama Sport Sylvester Stallone Cristián de la Fuente
Jean-Jacques Annaud,Jean-Claude Dreyfus,Adventure Drama Family,David Gant,Two Brothers,Oanh Nguyen,Jean-Jacques Annaud Jean-Claude Dreyfus Adventure Drama Family David Gant Oanh Nguyen
M. Night Shyamalan,Judy Greer,Drama Mystery Romance Thriller,Bryce Dallas Howard,The Village,William Hurt,M. Night Shyamalan Judy Greer Drama Mystery Romance Thriller Bryce Dallas Howard William Hurt
Betty Thomas,Raven-Symoné,Comedy Family Fantasy,Oliver Platt,Doctor Dolittle,Peter Boyle,Betty Thomas Raven-Symoné Comedy Family Fantasy Oliver Platt Peter Boyle
M. Night Shyamalan,Merritt Wever,Drama Sci-Fi Thriller,Rory Culkin,Signs,Cherry Jones,M. Night Shyamalan Merritt Wever Drama Sci-Fi Thriller Rory Culkin Cherry Jones
Andrew Adamson,Jennifer Saunders,Adventure Animation Comedy Family Fantasy Romance,Rupert Everett,Shrek 2,Conrad Vernon,Andrew Adamson Jennifer Saunders Adventure Animation Comedy Family Fantasy Romance Rupert Everett Conrad Vernon
John Lasseter,Cheech Marin,Adventure Animation Comedy Family Sport,John Ratzenberger,Cars,George Carlin,John Lasseter Cheech Marin Adventure Animation Comedy Family Sport John Ratzenberger George Carlin
Garry Marshall,Christopher Meloni,Comedy Romance,Julia Roberts,Runaway Bride,Hector Elizondo,Garry Marshall Christopher Meloni Comedy Romance Julia Roberts Hector Elizondo
Rob Cohen,Eve,Action Adventure Thriller,Vin Diesel,xXx,Leila Arcieri,Rob Cohen Eve Action Adventure Thriller Vin Diesel Leila Arcieri
Paul Tibbitt,Billy West,Adventure Animation Comedy Family Fantasy,Tim Conway,The SpongeBob Movie: Sponge Out of Water,Eddie Deezen,Paul Tibbitt Billy West Adventure Animation Comedy Family Fantasy Tim Conway Eddie Deezen
Ron Howard,Delroy Lindo,Crime Thriller,Lili Taylor,Ransom,Rene Russo,Ron Howard Delroy Lindo Crime Thriller Lili Taylor Rene Russo
Quentin Tarantino,Brad Pitt,Adventure Drama War,Michael Fassbender,Inglourious Basterds,Christoph Waltz,Quentin Tarantino Brad Pitt Adventure Drama War Michael Fassbender Christoph Waltz
Steven Spielberg,Julia Roberts,Adventure Comedy Family Fantasy,Robin Williams,Hook,Bob Hoskins,Steven Spielberg Julia Roberts Adventure Comedy Family Fantasy Robin Williams Bob Hoskins
Brett Ratner,Rufus Sewell,Action Adventure,Dwayne Johnson,Hercules,Ingrid Bolsø Berdal,Brett Ratner Rufus Sewell Action Adventure Dwayne Johnson Ingrid Bolsø Berdal
Renny Harlin,John Amos,Action Thriller,Bruce Willis,Die Hard 2,Franco Nero,Renny Harlin John Amos Action Thriller Bruce Willis Franco Nero
Clark Johnson,Josh Charles,Action Adventure Crime Thriller,Jeremy Renner,S.W.A.T.,LL Cool J,Clark Johnson Josh Charles Action Adventure Crime Thriller Jeremy Renner LL Cool J
Cameron Crowe,Ivana Milicevic,Fantasy Mystery Romance Sci-Fi Thriller,Tom Cruise,Vanilla Sky,Noah Taylor,Cameron Crowe Ivana Milicevic Fantasy Mystery Romance Sci-Fi Thriller Tom Cruise Noah Taylor
M. Night Shyamalan,Freddy Rodríguez,Drama Fantasy Mystery Thriller,Bryce Dallas Howard,Lady in the Water,Bob Balaban,M. Night Shyamalan Freddy Rodríguez Drama Fantasy Mystery Thriller Bryce Dallas Howard Bob Balaban
Paul W.S. Anderson,Colin Salmon,Action Horror Sci-Fi Thriller,Sanaa Lathan,AVP: Alien vs. Predator,Raoul Bova,Paul W.S. Anderson Colin Salmon Action Horror Sci-Fi Thriller Sanaa Lathan Raoul Bova
Betty Thomas,Bridgit Mendler,Animation Comedy Family Fantasy Music,Amy Poehler,Alvin and the Chipmunks: The Squeakquel,Jesse McCartney,Betty Thomas Bridgit Mendler Animation Comedy Family Fantasy Music Amy Poehler Jesse McCartney
Randall Wallace,Marc Blucas,Action Drama History War,Jon Hamm,We Were Soldiers,Chris Klein,Randall Wallace Marc Blucas Action Drama History War Jon Hamm Chris Klein
Antoine Fuqua,Morgan Freeman,Action Thriller,Gerard Butler,Olympus Has Fallen,Radha Mitchell,Antoine Fuqua Morgan Freeman Action Thriller Gerard Butler Radha Mitchell
Jonathan Frakes,Jonathan Frakes,Action Adventure Sci-Fi Thriller,LeVar Burton,Star Trek: Insurrection,Michael Dorn,Jonathan Frakes Jonathan Frakes Action Adventure Sci-Fi Thriller LeVar Burton Michael Dorn
Jonathan Liebesman,Jim Parrack,Action Sci-Fi,Noel Fisher,Battle Los Angeles,Ramon Rodriguez,Jonathan Liebesman Jim Parrack Action Sci-Fi Noel Fisher Ramon Rodriguez
Tim Burton,Alison Lohman,Adventure Drama Fantasy,Steve Buscemi,Big Fish,Albert Finney,Tim Burton Alison Lohman Adventure Drama Fantasy Steve Buscemi Albert Finney
Mike Nichols,Peter Gerety,Drama Horror Romance Thriller,David Hyde Pierce,Wolf,Ron Rifkin,Mike Nichols Peter Gerety Drama Horror Romance Thriller David Hyde Pierce Ron Rifkin
Steven Spielberg,Benedict Cumberbatch,Drama War,Jeremy Irvine,War Horse,Eddie Marsan,Steven Spielberg Benedict Cumberbatch Drama War Jeremy Irvine Eddie Marsan
George Clooney,Matt Damon,Drama War,Bill Murray,The Monuments Men,Bob Balaban,George Clooney Matt Damon Drama War Bill Murray Bob Balaban
James Cameron,Todd Graff,Adventure Drama Sci-Fi Thriller,Michael Biehn,The Abyss,Mary Elizabeth Mastrantonio,James Cameron Todd Graff Adventure Drama Sci-Fi Thriller Michael Biehn Mary Elizabeth Mastrantonio
Oliver Stone,Austin Pendleton,Drama,Frank Langella,Wall Street: Money Never Sleeps,John Buffalo Mailer,Oliver Stone Austin Pendleton Drama Frank Langella John Buffalo Mailer
Gary Shore,Sarah Gadon,Action Drama Fantasy Horror War,Dominic Cooper,Dracula Untold,Zach McGowan,Gary Shore Sarah Gadon Action Drama Fantasy Horror War Dominic Cooper Zach McGowan
Edward Zwick,Bruce Willis,Action Thriller,Denzel Washington,The Siege,Mark Valley,Edward Zwick Bruce Willis Action Thriller Denzel Washington Mark Valley
Matthew Vaughn,David Kelly,Adventure Family Fantasy Romance,Henry Cavill,Stardust,Nathaniel Parker,Matthew Vaughn David Kelly Adventure Family Fantasy Romance Henry Cavill Nathaniel Parker
Jean-Jacques Annaud,Mako,Adventure Biography Drama History War,Brad Pitt,Seven Years in Tibet,Victor Wong,Jean-Jacques Annaud Mako Adventure Biography Drama History War Brad Pitt Victor Wong
Ron Howard,Clint Howard,Comedy Drama,Channing Tatum,The Dilemma,Chelcie Ross,Ron Howard Clint Howard Comedy Drama Channing Tatum Chelcie Ross
Joel Schumacher,Brooke Smith,Action Adventure Comedy Thriller,Anthony Hopkins,Bad Company,Garcelle Beauvais,Joel Schumacher Brooke Smith Action Adventure Comedy Thriller Anthony Hopkins Garcelle Beauvais
Andrzej Bartkowiak,Ben Daniels,Action Adventure Horror Sci-Fi,Dwayne Johnson,Doom,Dexter Fletcher,Andrzej Bartkowiak Ben Daniels Action Adventure Horror Sci-Fi Dwayne Johnson Dexter Fletcher
Betty Thomas,Phill Lewis,Action Adventure Comedy Thriller,Gary Cole,I Spy,Tate Taylor,Betty Thomas Phill Lewis Action Adventure Comedy Thriller Gary Cole Tate Taylor
Måns Mårlind,Stephen Rea,Action Fantasy Horror,Theo James,Underworld: Awakening,Sandrine Holt,Måns Mårlind Stephen Rea Action Fantasy Horror Theo James Sandrine Holt
Adam Shankman,Shane Hartline,Comedy Drama Musical Romance,James Martin Kelly,Rock of Ages,Celina Beach,Adam Shankman Shane Hartline Comedy Drama Musical Romance James Martin Kelly Celina Beach
Gregory Hoblit,Cole Hauser,Drama War,Bruce Willis,Hart's War,Rory Cochrane,Gregory Hoblit Cole Hauser Drama War Bruce Willis Rory Cochrane
Gary McKendry,Robert De Niro,Action Crime Thriller,Jason Statham,Killer Elite,Ben Mendelsohn,Gary McKendry Robert De Niro Action Crime Thriller Jason Statham Ben Mendelsohn
John McTiernan,Chris Klein,Action Sci-Fi Sport,LL Cool J,Rollerball,Andrew Bryniarski,John McTiernan Chris Klein Action Sci-Fi Sport LL Cool J Andrew Bryniarski
Wych Kaosayananda,Sandrine Holt,Action Crime Sci-Fi Thriller,Talisa Soto,Ballistic: Ecks vs. Sever,Gregg Henry,Wych Kaosayananda Sandrine Holt Action Crime Sci-Fi Thriller Talisa Soto Gregg Henry
Mikael Salomon,Minnie Driver,Action Crime Drama Thriller,Morgan Freeman,Hard Rain,Randy Quaid,Mikael Salomon Minnie Driver Action Crime Drama Thriller Morgan Freeman Randy Quaid
Bobby Farrelly,Brandy Norwood,Action Adventure Animation Comedy Crime Family Fantasy,Ron Howard,Osmosis Jones,David Hyde Pierce,Bobby Farrelly Brandy Norwood Action Adventure Animation Comedy Crime Family Fantasy Ron Howard David Hyde Pierce
Will Finn,Oliver Platt,Adventure Animation Family Fantasy Musical,Lea Michele,Legends of Oz: Dorothy's Return,Jim Belushi,Will Finn Oliver Platt Adventure Animation Family Fantasy Musical Lea Michele Jim Belushi
Michael Mann,Archie Kao,Action Crime Drama Mystery Thriller,Chris Hemsworth,Blackhat,Brandon Molale,Michael Mann Archie Kao Action Crime Drama Mystery Thriller Chris Hemsworth Brandon Molale
Kerry Conran,Laurence Olivier,Action Adventure Mystery Sci-Fi Thriller,Angelina Jolie Pitt,Sky Captain and the World of Tomorrow,Bai Ling,Kerry Conran Laurence Olivier Action Adventure Mystery Sci-Fi Thriller Angelina Jolie Pitt Bai Ling
Michael Caton-Jones,Indira Varma,Crime Mystery Thriller,Charlotte Rampling,Basic Instinct 2,Neil Maskell,Michael Caton-Jones Indira Varma Crime Mystery Thriller Charlotte Rampling Neil Maskell
Mikael Håfström,50 Cent,Action Crime Mystery Sci-Fi Thriller,Sylvester Stallone,Escape Plan,Matt Gerald,Mikael Håfström 50 Cent Action Crime Mystery Sci-Fi Thriller Sylvester Stallone Matt Gerald
Renny Harlin,Luke Newberry,Action Adventure Fantasy,Roxanne McKee,The Legend of Hercules,Gaia Weiss,Renny Harlin Luke Newberry Action Adventure Fantasy Roxanne McKee Gaia Weiss
Phil Alden Robinson,Bruce McGill,Action Drama Thriller,Morgan Freeman,The Sum of All Fears,Philip Baker Hall,Phil Alden Robinson Bruce McGill Action Drama Thriller Morgan Freeman Philip Baker Hall
David Slade,Kristen Stewart,Adventure Drama Fantasy Romance,Robert Pattinson,The Twilight Saga: Eclipse,Anna Kendrick,David Slade Kristen Stewart Adventure Drama Fantasy Romance Robert Pattinson Anna Kendrick
Frank Oz,Marlon Brando,Crime Drama Thriller,Robert De Niro,The Score,Gary Farmer,Frank Oz Marlon Brando Crime Drama Thriller Robert De Niro Gary Farmer
Pierre Coffin,Miranda Cosgrove,Animation Comedy Family,Steve Carell,Despicable Me,Jack McBrayer,Pierre Coffin Miranda Cosgrove Animation Comedy Family Steve Carell Jack McBrayer
Joseph Ruben,Robert Blake,Action Comedy Crime Drama Thriller,Vincent Pastore,Money Train,Aida Turturro,Joseph Ruben Robert Blake Action Comedy Crime Drama Thriller Vincent Pastore Aida Turturro
Seth MacFarlane,Morgan Freeman,Comedy,Liam Neeson,Ted 2,Seth MacFarlane,Seth MacFarlane Morgan Freeman Comedy Liam Neeson Seth MacFarlane
Alejandro Amenábar,Ashraf Barhom,Adventure Drama History Romance,Max Minghella,Agora,Rupert Evans,Alejandro Amenábar Ashraf Barhom Adventure Drama History Romance Max Minghella Rupert Evans
Kinka Usher,Wes Studi,Action Comedy Fantasy Sci-Fi,Janeane Garofalo,Mystery Men,Eddie Izzard,Kinka Usher Wes Studi Action Comedy Fantasy Sci-Fi Janeane Garofalo Eddie Izzard
Bobby Farrelly,Larry Joe Campbell,Comedy Romance,Jenna Fischer,Hall Pass,Stephen Merchant,Bobby Farrelly Larry Joe Campbell Comedy Romance Jenna Fischer Stephen Merchant
Michael Mann,Rip Torn,Biography Drama Thriller,Al Pacino,The Insider,Debi Mazar,Michael Mann Rip Torn Biography Drama Thriller Al Pacino Debi Mazar
Craig Gillespie,Abraham Benrubi,Action Drama History Thriller,Michael Raymond-James,The Finest Hours,Graham McTavish,Craig Gillespie Abraham Benrubi Action Drama History Thriller Michael Raymond-James Graham McTavish
Ridley Scott,Simon McBurney,Action Drama Thriller,Leonardo DiCaprio,Body of Lies,Michael Gaston,Ridley Scott Simon McBurney Action Drama Thriller Leonardo DiCaprio Michael Gaston
Jay Roach,Stephanie Szostak,Comedy,Steve Carell,Dinner for Schmucks,Bruce Greenwood,Jay Roach Stephanie Szostak Comedy Steve Carell Bruce Greenwood
Timur Bekmambetov,Dominic Cooper,Action Fantasy Horror,Rufus Sewell,Abraham Lincoln: Vampire Hunter,Benjamin Walker,Timur Bekmambetov Dominic Cooper Action Fantasy Horror Rufus Sewell Benjamin Walker
Jon Amiel,Kevin McNally,Action Crime Romance Thriller,Will Patton,Entrapment,Maury Chaykin,Jon Amiel Kevin McNally Action Crime Romance Thriller Will Patton Maury Chaykin
Rob Bowman,Mitch Pileggi,Drama Mystery Sci-Fi Thriller,Martin Landau,The X Files,Jeffrey DeMunn,Rob Bowman Mitch Pileggi Drama Mystery Sci-Fi Thriller Martin Landau Jeffrey DeMunn
Doug Lefler,Nonso Anozie,Action Adventure Fantasy War,Colin Firth,The Last Legion,Owen Teale,Doug Lefler Nonso Anozie Action Adventure Fantasy War Colin Firth Owen Teale
Steven Spielberg,Vin Diesel,Action Drama War,Tom Hanks,Saving Private Ryan,Matt Damon,Steven Spielberg Vin Diesel Action Drama War Tom Hanks Matt Damon
Scott Waugh,Dominic Cooper,Action Crime Drama Thriller,Rami Malek,Need for Speed,Ramon Rodriguez,Scott Waugh Dominic Cooper Action Crime Drama Thriller Rami Malek Ramon Rodriguez
Nancy Meyers,Lisa Edelstein,Comedy Fantasy Romance,Judy Greer,What Women Want,Loretta Devine,Nancy Meyers Lisa Edelstein Comedy Fantasy Romance Judy Greer Loretta Devine
Chris Wedge,Stephen Root,Adventure Animation Comedy Family,Goran Visnjic,Ice Age,Denis Leary,Chris Wedge Stephen Root Adventure Animation Comedy Family Goran Visnjic Denis Leary
Lawrence Kasdan,Michael O'Neill,Drama Horror Sci-Fi Thriller,Morgan Freeman,Dreamcatcher,Reece Thompson,Lawrence Kasdan Michael O'Neill Drama Horror Sci-Fi Thriller Morgan Freeman Reece Thompson
Steven Spielberg,Hal Holbrook,Biography Drama History War,Joseph Gordon-Levitt,Lincoln,Bruce McGill,Steven Spielberg Hal Holbrook Biography Drama History War Joseph Gordon-Levitt Bruce McGill
Lana Wachowski,Marcus Chong,Action Sci-Fi,Keanu Reeves,The Matrix,Gloria Foster,Lana Wachowski Marcus Chong Action Sci-Fi Keanu Reeves Gloria Foster
Ron Howard,Miko Hughes,Adventure Drama History,Tom Hanks,Apollo 13,Kathleen Quinlan,Ron Howard Miko Hughes Adventure Drama History Tom Hanks Kathleen Quinlan
Paul Verhoeven,Rachel Ticotin,Action Sci-Fi,Ronny Cox,Total Recall,Marshall Bell,Paul Verhoeven Rachel Ticotin Action Sci-Fi Ronny Cox Marshall Bell
Michael Lembeck,Aisha Tyler,Comedy Family Fantasy,Judge Reinhold,The Santa Clause 2,Eric Lloyd,Michael Lembeck Aisha Tyler Comedy Family Fantasy Judge Reinhold Eric Lloyd
Tom Hooper,Eddie Redmayne,Drama Musical Romance,Hugh Jackman,Les Misérables,Anne Hathaway,Tom Hooper Eddie Redmayne Drama Musical Romance Hugh Jackman Anne Hathaway
Nora Ephron,Jean Stapleton,Comedy Drama Romance,Tom Hanks,You've Got Mail,Dave Chappelle,Nora Ephron Jean Stapleton Comedy Drama Romance Tom Hanks Dave Chappelle
Adam McKay,Adam Scott,Comedy,Will Ferrell,Step Brothers,Andrea Savage,Adam McKay Adam Scott Comedy Will Ferrell Andrea Savage
Martin Campbell,Tony Amendola,Action Adventure Comedy Romance Thriller Western,Anthony Hopkins,The Mask of Zorro,Stuart Wilson,Martin Campbell Tony Amendola Action Adventure Comedy Romance Thriller Western Anthony Hopkins Stuart Wilson
Todd Phillips,RZA,Comedy Drama,Robert Downey Jr.,Due Date,Matt Walsh,Todd Phillips RZA Comedy Drama Robert Downey Jr. Matt Walsh
Angelina Jolie Pitt,Jack O'Connell,Biography Drama Sport War,Finn Wittrock,Unbroken,Alex Russell,Angelina Jolie Pitt Jack O'Connell Biography Drama Sport War Finn Wittrock Alex Russell
Clint Eastwood,Courtney B. Vance,Action Adventure Thriller,Clint Eastwood,Space Cowboys,William Devane,Clint Eastwood Courtney B. Vance Action Adventure Thriller Clint Eastwood William Devane
Renny Harlin,Leon,Action Adventure Thriller,Sylvester Stallone,Cliffhanger,Janine Turner,Renny Harlin Leon Action Adventure Thriller Sylvester Stallone Janine Turner
John Woo,Samantha Mathis,Action Crime Thriller,Delroy Lindo,Broken Arrow,Bob Gunton,John Woo Samantha Mathis Action Crime Thriller Delroy Lindo Bob Gunton
Jon Turteltaub,Lily Tomlin,Comedy Family Fantasy,Bruce Willis,The Kid,Daniel von Bargen,Jon Turteltaub Lily Tomlin Comedy Family Fantasy Bruce Willis Daniel von Bargen
Oliver Stone,Jay Hernandez,Drama History Thriller,Nicolas Cage,World Trade Center,Armando Riesco,Oliver Stone Jay Hernandez Drama History Thriller Nicolas Cage Armando Riesco
Mike Newell,Kirsten Dunst,Drama,Julia Roberts,Mona Lisa Smile,Marian Seldes,Mike Newell Kirsten Dunst Drama Julia Roberts Marian Seldes
Larry Charles,Aasif Mandvi,Comedy Romance,Sayed Badreya,The Dictator,Horatio Sanz,Larry Charles Aasif Mandvi Comedy Romance Sayed Badreya Horatio Sanz
Stanley Kubrick,Vinessa Shaw,Drama Mystery Thriller,Tom Cruise,Eyes Wide Shut,Sydney Pollack,Stanley Kubrick Vinessa Shaw Drama Mystery Thriller Tom Cruise Sydney Pollack
Will Gluck,Dorian Missick,Comedy Drama Family Musical,Quvenzhané Wallis,Annie,David Zayas,Will Gluck Dorian Missick Comedy Drama Family Musical Quvenzhané Wallis David Zayas
Glenn Ficarra,Adrian Martinez,Comedy Crime Drama Romance,Will Smith,Focus,Gerald McRaney,Glenn Ficarra Adrian Martinez Comedy Crime Drama Romance Will Smith Gerald McRaney
McG,Abigail Spencer,Action Comedy Romance,Tom Hardy,This Means War,Warren Christie,McG Abigail Spencer Action Comedy Romance Tom Hardy Warren Christie
David S. Goyer,Natasha Lyonne,Action Adventure Fantasy Horror Sci-Fi Thriller,Ryan Reynolds,Blade: Trinity,John Michael Higgins,David S. Goyer Natasha Lyonne Action Adventure Fantasy Horror Sci-Fi Thriller Ryan Reynolds John Michael Higgins
John Milius,Jennifer Grey,Action Drama War,Lea Thompson,Red Dawn,William Smith,John Milius Jennifer Grey Action Drama War Lea Thompson William Smith
Mike Nichols,Adrian Lester,Comedy Drama,Maura Tierney,Primary Colors,Paul Guilfoyle,Mike Nichols Adrian Lester Comedy Drama Maura Tierney Paul Guilfoyle
Paul W.S. Anderson,Boris Kodjoe,Action Horror Sci-Fi Thriller,Milla Jovovich,Resident Evil: Retribution,Bingbing Li,Paul W.S. Anderson Boris Kodjoe Action Horror Sci-Fi Thriller Milla Jovovich Bingbing Li
Paul W.S. Anderson,Max Ryan,Action Sci-Fi Thriller,Jason Statham,Death Race,Joan Allen,Paul W.S. Anderson Max Ryan Action Sci-Fi Thriller Jason Statham Joan Allen
Renny Harlin,Craig Bierko,Action Crime Drama Mystery Thriller,Melina Kanakaredes,The Long Kiss Goodnight,Yvonne Zima,Renny Harlin Craig Bierko Action Crime Drama Mystery Thriller Melina Kanakaredes Yvonne Zima
Taylor Hackford,Alun Armstrong,Action Drama Thriller,Pamela Reed,Proof of Life,Michael Kitchen,Taylor Hackford Alun Armstrong Action Drama Thriller Pamela Reed Michael Kitchen
Jon Favreau,Josh Hutcherson,Action Adventure Comedy Family Fantasy Sci-Fi,Kristen Stewart,Zathura: A Space Adventure,Jonah Bobo,Jon Favreau Josh Hutcherson Action Adventure Comedy Family Fantasy Sci-Fi Kristen Stewart Jonah Bobo
David Fincher,Meat Loaf,Drama,Brad Pitt,Fight Club,Eugenie Bondurant,David Fincher Meat Loaf Drama Brad Pitt Eugenie Bondurant
McG,Kimberly Williams-Paisley,Drama Sport,Matthew McConaughey,We Are Marshall,Brian Geraghty,McG Kimberly Williams-Paisley Drama Sport Matthew McConaughey Brian Geraghty
Michael Lehmann,James Coburn,Action Adventure Comedy,Bruce Willis,Hudson Hawk,Richard E. Grant,Michael Lehmann James Coburn Action Adventure Comedy Bruce Willis Richard E. Grant
Nora Ephron,Michael Moore,Comedy Crime,Michael Rapaport,Lucky Numbers,Richard Schiff,Nora Ephron Michael Moore Comedy Crime Michael Rapaport Richard Schiff
Stuart Beattie,Kevin Grevioux,Action Fantasy Sci-Fi Thriller,Caitlin Stasey,"I, Frankenstein",Miranda Otto,Stuart Beattie Kevin Grevioux Action Fantasy Sci-Fi Thriller Caitlin Stasey Miranda Otto
Roman Polanski,Barney Clark,Crime Drama,Ian McNeice,Oliver Twist,Tony Noble,Roman Polanski Barney Clark Crime Drama Ian McNeice Tony Noble
Rob Bowman,Cary-Hiroyuki Tagawa,Action Crime Fantasy Thriller,Jennifer Garner,Elektra,Goran Visnjic,Rob Bowman Cary-Hiroyuki Tagawa Action Crime Fantasy Thriller Jennifer Garner Goran Visnjic
Frank Miller,Bruce Willis,Action Crime Thriller,Joseph Gordon-Levitt,Sin City: A Dame to Kill For,Eva Green,Frank Miller Bruce Willis Action Crime Thriller Joseph Gordon-Levitt Eva Green
Sydney Pollack,Kristin Scott Thomas,Drama Mystery Romance,Harrison Ford,Random Hearts,Bill Cobbs,Sydney Pollack Kristin Scott Thomas Drama Mystery Romance Harrison Ford Bill Cobbs
Baltasar Kormákur,Martin Henderson,Adventure Biography Drama History Sport Thriller,Michael Kelly,Everest,Tom Goodman-Hill,Baltasar Kormákur Martin Henderson Adventure Biography Drama History Sport Thriller Michael Kelly Tom Goodman-Hill
Tom Tykwer,David Calder,Crime Drama Fantasy,Michael Smiley,Perfume: The Story of a Murderer,Simon Chandler,Tom Tykwer David Calder Crime Drama Fantasy Michael Smiley Simon Chandler
Jay Roach,Josh Zuckerman,Action Comedy Crime,Verne Troyer,Austin Powers in Goldmember,Robert Wagner,Jay Roach Josh Zuckerman Action Comedy Crime Verne Troyer Robert Wagner
David Bowers,Charlize Theron,Action Animation Comedy Family Sci-Fi,Nicolas Cage,Astro Boy,Dee Bradley Baker,David Bowers Charlize Theron Action Animation Comedy Family Sci-Fi Nicolas Cage Dee Bradley Baker
Steven Spielberg,Ariana Richards,Adventure Sci-Fi Thriller,Wayne Knight,Jurassic Park,Bob Peck,Steven Spielberg Ariana Richards Adventure Sci-Fi Thriller Wayne Knight Bob Peck
Lawrence Kasdan,Catherine O'Hara,Adventure Biography Crime Drama Western,Dennis Quaid,Wyatt Earp,Isabella Rossellini,Lawrence Kasdan Catherine O'Hara Adventure Biography Crime Drama Western Dennis Quaid Isabella Rossellini
Phillip Noyce,Dean Jones,Action Crime Drama Thriller,Harrison Ford,Clear and Present Danger,Raymond Cruz,Phillip Noyce Dean Jones Action Crime Drama Thriller Harrison Ford Raymond Cruz
Daniel Lee,Peng Lin,Action Adventure Drama History,Si Won Choi,Dragon Blade,Sung-jun Yoo,Daniel Lee Peng Lin Action Adventure Drama History Si Won Choi Sung-jun Yoo
Keenen Ivory Wayans,Brittany Daniel,Comedy Crime,Chazz Palminteri,Littleman,John Witherspoon,Keenen Ivory Wayans Brittany Daniel Comedy Crime Chazz Palminteri John Witherspoon
Jonathan Mostow,Thomas Kretschmann,Action War,Matthew McConaughey,U-571,David Keith,Jonathan Mostow Thomas Kretschmann Action War Matthew McConaughey David Keith
Rob Reiner,Samantha Mathis,Comedy Drama Romance,Shawna Waldron,The American President,Wendie Malick,Rob Reiner Samantha Mathis Comedy Drama Romance Shawna Waldron Wendie Malick
Marco Schnabel,Romany Malco,Comedy Romance Sport,Justin Timberlake,The Love Guru,Verne Troyer,Marco Schnabel Romany Malco Comedy Romance Sport Justin Timberlake Verne Troyer
